               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.050756,            0.009969,                   0,                   1,             0.99286,               0.995,             0.42431,            0.027328,            0.021997,                   0,           0.0068815,           0.0068815,           0.0068815
                 128,            0.052738,           0.0095743,                   0,                   1,             0.99286,               0.995,             0.42431,            0.027328,            0.021997,                   0,           0.0068568,           0.0068568,           0.0068568
                 129,            0.050298,           0.0092117,                   0,             0.97019,                   1,               0.995,             0.23099,            0.025018,            0.023288,                   0,            0.006832,            0.006832,            0.006832
                 130,            0.036507,            0.010506,                   0,             0.97019,                   1,               0.995,             0.23099,            0.025018,            0.023288,                   0,           0.0068073,           0.0068073,           0.0068073
                 131,            0.030598,            0.010681,                   0,             0.97605,                   1,               0.995,             0.38966,            0.026369,             0.02263,                   0,           0.0067825,           0.0067825,           0.0067825
                 132,            0.048164,           0.0084935,                   0,             0.97605,                   1,               0.995,             0.38966,            0.026369,             0.02263,                   0,           0.0067577,           0.0067577,           0.0067577
                 133,            0.054451,           0.0099724,                   0,             0.98536,                   1,               0.995,             0.56376,            0.021531,            0.022636,                   0,            0.006733,            0.006733,            0.006733
                 134,            0.034084,           0.0091483,                   0,             0.98536,                   1,               0.995,             0.56376,            0.021531,            0.022636,                   0,           0.0067082,           0.0067082,           0.0067082
                 135,             0.04269,           0.0086035,                   0,             0.98153,                   1,               0.995,             0.54511,             0.02089,            0.022577,                   0,           0.0066835,           0.0066835,           0.0066835
                 136,            0.047697,           0.0092083,                   0,             0.98153,                   1,               0.995,             0.54511,             0.02089,            0.022577,                   0,           0.0066587,           0.0066587,           0.0066587
                 137,            0.051569,            0.012671,                   0,              0.8877,             0.98839,             0.95247,             0.49447,            0.027373,            0.021054,                   0,            0.006634,            0.006634,            0.006634
                 138,            0.048984,            0.010062,                   0,              0.8877,             0.98839,             0.95247,             0.49447,            0.027373,            0.021054,                   0,           0.0066092,           0.0066092,           0.0066092
                 139,            0.046585,            0.010037,                   0,             0.88555,                   1,             0.96712,             0.41913,            0.026506,             0.02162,                   0,           0.0065845,           0.0065845,           0.0065845
                 140,            0.035842,            0.010628,                   0,             0.88555,                   1,             0.96712,             0.41913,            0.026506,             0.02162,                   0,           0.0065598,           0.0065598,           0.0065598
                 141,            0.047257,           0.0090658,                   0,              0.9428,             0.95833,             0.96436,             0.30539,            0.028223,            0.020829,                   0,            0.006535,            0.006535,            0.006535
                 142,            0.050193,            0.011471,                   0,              0.9428,             0.95833,             0.96436,             0.30539,            0.028223,            0.020829,                   0,           0.0065102,           0.0065102,           0.0065102
                 143,            0.049984,            0.010705,                   0,             0.98803,                   1,               0.995,             0.56027,            0.021221,             0.02169,                   0,           0.0064855,           0.0064855,           0.0064855
                 144,            0.043201,           0.0091766,                   0,             0.98803,                   1,               0.995,             0.56027,            0.021221,             0.02169,                   0,           0.0064608,           0.0064608,           0.0064608
                 145,             0.04567,           0.0095784,                   0,             0.98856,                   1,               0.995,              0.3627,            0.027401,            0.019979,                   0,            0.006436,            0.006436,            0.006436
                 146,            0.042764,           0.0097275,                   0,             0.98856,                   1,               0.995,              0.3627,            0.027401,            0.019979,                   0,           0.0064112,           0.0064112,           0.0064112
                 147,            0.044562,           0.0079879,                   0,             0.86191,               0.875,             0.78765,             0.36902,            0.029169,            0.020167,                   0,           0.0063865,           0.0063865,           0.0063865
                 148,            0.046625,           0.0099804,                   0,             0.86191,               0.875,             0.78765,             0.36902,            0.029169,            0.020167,                   0,           0.0063618,           0.0063618,           0.0063618
                 149,            0.037731,             0.01081,                   0,             0.98845,                   1,               0.995,             0.33583,            0.022636,            0.021282,                   0,            0.006337,            0.006337,            0.006337
                 150,            0.044606,            0.012574,                   0,             0.98845,                   1,               0.995,             0.33583,            0.022636,            0.021282,                   0,           0.0063122,           0.0063122,           0.0063122
                 151,            0.045123,           0.0092089,                   0,             0.93639,                   1,               0.975,             0.54366,            0.021692,            0.020971,                   0,           0.0062875,           0.0062875,           0.0062875
                 152,            0.031844,           0.0090631,                   0,             0.93639,                   1,               0.975,             0.54366,            0.021692,            0.020971,                   0,           0.0062628,           0.0062628,           0.0062628
                 153,            0.042842,           0.0097212,                   0,             0.91423,                   1,             0.98145,              0.6023,            0.021635,            0.020116,                   0,            0.006238,            0.006238,            0.006238
                 154,            0.046482,           0.0097201,                   0,             0.91423,                   1,             0.98145,              0.6023,            0.021635,            0.020116,                   0,           0.0062132,           0.0062132,           0.0062132
                 155,             0.04312,           0.0090326,                   0,             0.91374,                   1,             0.94079,             0.42801,             0.02409,            0.020612,                   0,           0.0061885,           0.0061885,           0.0061885
                 156,            0.046426,           0.0079254,                   0,             0.91374,                   1,             0.94079,             0.42801,             0.02409,            0.020612,                   0,           0.0061637,           0.0061637,           0.0061637
                 157,            0.038736,            0.010838,                   0,                   1,             0.99527,               0.995,             0.46009,            0.023386,            0.020035,                   0,            0.006139,            0.006139,            0.006139
                 158,            0.033791,            0.010837,                   0,                   1,             0.99527,               0.995,             0.46009,            0.023386,            0.020035,                   0,           0.0061142,           0.0061142,           0.0061142
                 159,            0.031496,           0.0057861,                   0,              0.6819,             0.89352,             0.81687,              0.3345,             0.02811,            0.019744,                   0,           0.0060895,           0.0060895,           0.0060895
                 160,            0.049533,           0.0098852,                   0,              0.6819,             0.89352,             0.81687,              0.3345,             0.02811,            0.019744,                   0,           0.0060647,           0.0060647,           0.0060647
                 161,            0.049008,            0.011341,                   0,             0.99297,                   1,               0.995,             0.50793,            0.021776,              0.0201,                   0,             0.00604,             0.00604,             0.00604
                 162,             0.03922,            0.011582,                   0,             0.99297,                   1,               0.995,             0.50793,            0.021776,              0.0201,                   0,           0.0060152,           0.0060152,           0.0060152
                 163,            0.039162,           0.0090417,                   0,             0.99773,                   1,               0.995,             0.58911,            0.019649,            0.019725,                   0,           0.0059905,           0.0059905,           0.0059905
                 164,            0.039155,           0.0080447,                   0,             0.99773,                   1,               0.995,             0.58911,            0.019649,            0.019725,                   0,           0.0059658,           0.0059658,           0.0059658
                 165,            0.033913,           0.0096343,                   0,                   1,             0.99601,               0.995,             0.31107,            0.025346,            0.019492,                   0,            0.005941,            0.005941,            0.005941
                 166,            0.039385,            0.010547,                   0,                   1,             0.99601,               0.995,             0.31107,            0.025346,            0.019492,                   0,           0.0059163,           0.0059163,           0.0059163
                 167,            0.040639,           0.0088093,                   0,             0.99676,                   1,               0.995,             0.58519,             0.01854,            0.019795,                   0,           0.0058915,           0.0058915,           0.0058915
                 168,            0.038055,           0.0091296,                   0,             0.99676,                   1,               0.995,             0.58519,             0.01854,            0.019795,                   0,           0.0058668,           0.0058668,           0.0058668
